ocena,ime,alkohol,kategorija,cena,opis,ocenjevalec,cas_ocene
71,Wieser Wiesky Pinot Noir 7 year old,40.0,Austrian Whisky,50,"The wine cask anoints a gentle amber hue to this natural-colored whisky that has a nose redolent of wine gums. It has a firm texture with early promises of apple and blackberry, but then the flavors tumble off a cliff; a mouth-puckering bedlam of unsweetened rhubarb, cough medicine, licorice, and aniseed. A dash of water extinguishes many of the sour notes, but any redeeming qualities are weakened too, leaving it bland and saggy. Hard to love this one.",Jonny McCormick,Summer 2016
71,Peaden Brothers Genuine Corn Whiskey Moonshine Fox 382 Special Edition,50.0,Craft Whiskey,30,"The nose starts with sweet corn, cornmeal, yeasty bread, and black pepper, with wet dog and a slight varnishy note right behind. The entry is soft and round, with dry cornmeal, bran flakes, and yeasty bread. Unfortunately, the varnish note from the nose returns pretty clearly in the mid-palate along with black pepper. Everything wraps up with a shorter than expected finish. The heart of this whiskey is interesting, but it could benefit from a much tighter cut. (<em>distillery store only</em>)",Geoffrey Kleinman,Winter 2014
71,Black Velvet Cinnamon Rush,35.0,Flavored Whisky & Liqueurs,15,"One of the most popular flavored whiskies today is Fireball cinnamon, so it’s no surprise that other cinnamon whiskies are entering the market. This one has a lovely, woody, cinnamon nose that bursts into sweet, blistering cinnamon on the palate. Cinnamon is a natural whisky flavor, but here, rather than complement the underlying whisky, it completely masks it. This is a cinnamon liqueur, and a good one. A fun shooter, perhaps, but it’s barely whisky.",Davin de Kergommeaux,Summer 2014
72,Wieser Wiesky Sherry Wood 7 year old,40.0,Austrian Whisky,50,"A quadruple-distilled whisky in a glass-stoppered bottle, the sherry influence has left its mark on the nose with ripe Victoria plums, glacé cherry, ripening strawberries, icing sugar, and mixed peel. Too bad the flavors are profoundly bitter and minty, producing an expression on this reviewer’s face like a flinching child reluctantly ingesting an unwelcome spoonful of medicine. More palatable and fruity as it dilutes, some spearmint returns on the finish, but it was game over by then.",Jonny McCormick,Summer 2016
72,Beach Whiskey,40.0,Craft Whiskey,28,"There are flavored—cinnamon and coconut—versions at lower proof; this is the “Original,” unflavored at full proof. Unaged and clear, the aroma is clean and full of roasted corn and a ripple of deep caramel. Surprisingly appealing, actually. Tastes like raw new make, though: green, feinty, vegetal, and crying out for cola, ginger ale, even Mountain Dew to help mask it. Are we done with ‘moonshine’ yet? Please?",Lew Bryson,Winter 2015
72,Texas Spirit,40.0,Canadian,15,"Maple syrup and gelatin capsules in a veterinarian’s office. Texas Spirit is WB Liquors’ (Costco) house brand and so, available in one size only: extra-large. A simple mixing whisky, it is sweet, floral, watery, and loaded with vanilla and caramel. Extra hot pepper throws it a bit out of balance, though it would likely go well with Coke. A young, unassuming whisky not to savor, but to session. Price is per 1.75 liter.",Davin de Kergommeaux,Winter 2015
72,Feisty Spirits Better Days Bourbon,44.0,Craft Whiskey,48,"Aged for “at least” one month, this bourbon is a collaboration with the band Fierce Dead Rabbit. Better Days is pale gold and noticeably cloudy. On the nose it’s paste, yeasty bread dough, and wet pavement. On the palate it is all over the place with raw oak, cinnamon, almond, and black pepper. There&#039;s no balance and no integration. The finish is short, hot, and dry. As whiskey ages, it goes through odd, awkward phases, and that&#039;s where this one is.",Geoffrey Kleinman,Spring 2015
72,Navazos-Palazzi Grain Single Palo Cortado Cask,,Spanish Whisky,100,"No age statement on this grain whisky made from Spanish corn and aged in Palo Cortado sherry casks. Whereas the Navazos-Palazzi malt captured the richness of the sherry, the grain seems to pull the more acidic and dry qualities. Here it&#039;s dry sherry, coffee bean, brown sugar, and white pepper. Much hotter and drier than the Navazos-Palazzi malt, it explodes with heat and spice. This grain whisky was probably never meant to be consumed unblended, and it shows. (<em>U.S. only</em>)",Geoffrey Kleinman,Spring 2015
72,Freedom Moonshine White Rye,40.0,Craft Whiskey,20,"Many moonshine products are centered around corn, but Freedom Moonshine mixes it up with a mashbill of 95% rye and 5% malted barley. Yeasty rye bread defines the nose with an undercurrent of white grape. The entry is soft, with yeasty rye, vanilla, and bran flakes. There’s some structure in the mid-palate with rye spice and black pepper but it needs more. The finish is a little flat, all pointing to the need for a slightly higher proof.",Geoffrey Kleinman,Winter 2014
72,Buffalo Trace Experimental Collection (Made with Oats),45.0,Bourbon/Tennessee,,"Perhaps my least favorite of all the Experimental Collection releases to date. The nose shows nicely, but it comes across as rather aggressive and harsh on the palate toward the finish, which the label describes as being “earthy.” Otherwise, the whiskey is pleasantly sweet, with molasses, date, and fig, plus charcoal, leather, and bitter resin in the mix. Price is per 375 ml.  ",John Hansell,Spring 2012
72,Jeremiah Weed Cherry Mash Flavored,45.0,Flavored Whisky & Liqueurs,,"Artificial cherry aroma, like cherry PEZ, and barely a hint of bourbon. The taste is not overpoweringly sweet at all, a surprise, and there's a nutty, almost Luxardo-like character in the cherry that would be more interesting if it weren't for the soapy notes and bitter medicinal flavor of the whiskey. A more natural cherry character would net a higher rating.  ",Lew Bryson,Spring 2012
73,Virginia Black American Whiskey,40.0,Miscellaneous,35,"Sourced whiskey from MGP, it’s fairly muted with hints of dill, oregano, basil, sawdust, hay, and mint. Then vegetal, cherry cough syrup, and candy corn notes over cola, maple, and oak. Traces of baking spices appear just before sweet syrup over an extremely short finish. Although many notes appeared, none were particularly pronounced.",Fred Minnick,Spring 2017
73,Rogue Oregon Single Malt,40.0,Craft Whiskey,45,"Showing its youth through an obvious green character that peers from beneath a cloak of campfire and applewood smoke, with banana as the prominent fruit, along with secondary apple, citrus, and a peculiar rubber tire note. The palate is light-bodied and overtly sweet, with grass, marshmallow, and vanilla. Reminiscent of a Lowland malt, which only contributes to the disjointed feeling of the whole package.",Jeffery Lindenmuth,Fall 2016
73,Arizona Distilling Copper City Bourbon,45.0,Craft Whiskey,53,"The nose on this whiskey is like smelling a wet empty barrel; it&#039;s all oak, char, and cinnamon spice. The entry is thin, watery, and understated with light caramel and cinnamon. In the mid-palate, the oak tannins completely take over. It&#039;s not just oak spice, but the puckeringly dry, sour, and bitter tannins. This all leads to a bitter, bone dry finish. Good whiskey is a conversation between spirit and wood, but here the wood is doing all the talking.",Geoffrey Kleinman,Fall 2015
73,Catch Fire Cinnamon,30.0,Flavored Whisky & Liqueurs,12,"Cinnamon is reputed to have medicinal qualities, but you can bet those who drink Catch Fire Cinnamon do so for the incinerating jolt of sweet, spicy heat. Cinnamon hearts and hints of grain dust, almost like those cinnamon sticks in Christmas punch. Sweet, but not cloying. A creamy mouthfeel and touch of whisky wood remind us, if vaguely, that Catch Fire is whisky. The Lynne Truss of flavored whiskies: shoots, winces, and leaves with a long glowing finish.",Davin de Kergommeaux,Fall 2014
73,Spicebox Pumpkin Spiced Whisky,35.0,Flavored Whisky & Liqueurs,20,"Early trial batches of this whisky, flavored by cold infusion, tasted like sweet, roasted squash. However, the final version that we have here is as inviting as the nutmeg-laced pumpkin pie it so resembles. Sweet vanilla and salt water taffy fill the air, with rummy Christmas eggnog taking up the rear. Unusual in that it’s sweet but not syrupy. Hot pepper lingers, as do sweet tingling spices, but the whisky notes just barely show their presence. (<em>Canada only) </em>C$22",Davin de Kergommeaux,Summer 2014
73,Spicebox Cinnamon Whisky Lot 1642,33.0,Flavored Whisky & Liqueurs,17,"Cinnamon hearts. Very sweet and crazy hot with cinnamon. The cinnamon so dominates this liqueur-like drink that very little whisky manages to peek through until the very end of a long, murderously hot finish. Even then, cinnamon overrides the whiskyness, leaving a drink rather than a dram. Fun, yes, great fun, and almost certainly a bracing shooter, but it may be difficult to convince the whisky aficionado to think of this as whisky.",Davin de Kergommeaux,Spring 2014
73,Canadian Five Star,40.0,Canadian,,"A tad thin for sipping, Five Star is a quintessential mixing whisky, laden with dusty rye and citrus pith; it begs for ginger ale. First, though, sip it neat, and feel it blossom in your mouth; it brims with spirit, caramel, and blistering pepper. Behind these linger orange zest, herbaceous tones, creamy corn, and refreshing bitterness. Tingling rye spices that play off the pepper perk up its sweet fruitiness. Now mix it, and delight in its straightforward simplicity. (Canada only) C$22",Davin de Kergommeaux,Summer 2013
73,Canadian Club Dock No. 57 Blackberry,40.0,Flavored Whisky & Liqueurs,,"When they say berry, they mean berries: baskets of blueberries, blackberries, and raspberries, until suddenly the palate veers off into grape popsicles. This is one sweet, unabashedly faux-fruity potation, but other than traces of oak, not much whisky flavor remains. Still, in the right hands it could be a lot of cocktail fun. Rather than serving it in a whisky glass, a dram or two on French vanilla or coconut-milk ice cream is genuinely scrumptious. ",Davin de Kergommeaux,Spring 2013
73,Koval American Oat,40.0,White Whiskey,,"Very similar to the Midwest Wheat in aroma, with a slight additional tanginess…but that could be from sensory deprivation. Drier in the mouth, with a slight medicinal character to it that increases as the finish goes on; like a high school chemistry lab storeroom, or a bottle of fresh aspirin. ",Lew Bryson,Fall 2011
73,Catoctin Creek Mosby’s Spirit,40.0,White Whiskey,,"Made from 100&#37; rye, and USDA certified organic. Very hot for 40&#37;; herbal nose, very green with rye. Much smoother on the palate, and very quick. There’s a fast shot of rye mint up front, some grassiness, and a sharp flick of heat…and then it vanishes, leaving only a fading flinty-sweet afternote. Clean, but not a lot of substance.",Lew Bryson,Fall 2011
74,Backbone Prime Blended Bourbon (batch 3),52.0,Bourbon/Tennessee,35,"Up front it is extremely off-putting, with overwhelming medicinal, musk, and anise notes, but herbs, candied fruit, and shrubs offer a semblance of hope. Finally, caramel and vanilla appear, though short, overtaken by raw sweet corn and oats. Grain doesn’t go away; it almost masks specks of brown sugar and citrus before a short finish with an unrelenting bitterness.",Fred Minnick,Winter 2016
74,Oppidan Malted Rye,46.0,Craft Whiskey,50,"Nasty smell of chicken coop: dried guano, some ammonia, and dust, with grain underneath. Happily, it tastes quite a bit better. Sweet grain, snap of rye spice, some dry cocoa powder, but there&#039;s still a dustiness to it, and a distinct small-barrel woodiness. Hard to get past that aroma. Seems like there&#039;s more than one problem here.",Lew Bryson,Spring 2016
74,Hayes Parker Reserve Cherry,45.0,Flavored Whisky & Liqueurs,13,"Based on the Hayes Parker bourbon. Faint cherry aroma; not sure I’d pick it out without the label’s help. Quite sweet, but still; the cherry character is not so much subtle or faint, as just not there. There is some sweet cherry candy character at the very end. Disappointing.",Lew Bryson,Fall 2014
74,Canadian Leaf,40.0,Canadian,11,"The loyalty to Canadian Leaf shown by some rye-and-coke drinkers in the Northeastern border states speaks to the broad appeal of whisky in general. With creamy caramel, toffee, sweet burnt sugar, and a pleasant, spice-fired warmth, it makes a great mixing whisky. A certain sharpness and spirity overtones render it less interesting as a sipper. Simple, flawless, and well-executed, but not particularly exciting, this is the light Canadian whisky of yesteryear.",Davin de Kergommeaux,Fall 2014
74,Canadian Supreme,40.0,Canadian,9,"One of the Barton whiskies acquired by Sazerac in 2009, Canadian Supreme is a dry, dusty mixer that blossoms in ginger ale. Neat, the nose opens slowly to dried fruit, while the palate is grassy, almost mashy, with butterscotch pudding and a peppery glow. Though not at all tannic, still it becomes a bit pulling in the middle before giving way to prunes, raspberries, and maraschino cherries. The finish is surprisingly long and hot.",Davin de Kergommeaux,Fall 2014
74,Jefferson’s Presidential Select 25 year old,,Bourbon/Tennessee,200,"Its age certainly shows, with a good dose of leather, tobacco, and barrel char. Sweet notes of caramel, toffee, and candied fruit try to rescue it, but ultimately fails toward the finish, leaving my mouth parched, leathery, and craving a glass of water (or a beer!). A bourbon with individuality, but it pains me to think what this could have been (or once was).",John Hansell,Spring 2014
74,Red Stag Spiced with Cinnamon,40.0,Flavored Whisky & Liqueurs,,"Given the Beam house character of cinnamon, I thought this was redundant till I got a whiff of the sweet cinnamon coming off this, like a tea made from Red Hots candies. The drink itself is thickly sweet, and more of the hot cinnamon candy overwhelms anything else; the bourbon is largely lost here. If anything, the finish is even more heavy-handed.  ",Lew Bryson,Spring 2012
74,Koval Raksi Millet,40.0,White Whiskey,,"A lively light fruitiness (white grapes, green plum) in the nose. Quite grainy, but with an interesting hint of vanilla and a slight saltiness. Finish is a bit astringent, unlike the other Koval spirits. I’m finding these an interesting exercise in distillation, and educational. ",Lew Bryson,Fall 2011
74,Koval Midwest Wheat,40.0,White Whiskey,,"So that’s what wheat smells like: not much. The aromas here seem to be mostly yeast-derived, with a faint ripe fruitiness (undefined: peach, apple?) and alcohol heat, and a touch of wheat-origin sweet grass. Wheat’s in the mouth, like chewing fresh grain with some water and alcohol. It’s all there, and the finish is sweet, and it’s clean, but…that’s about all. White bread whiskey. ",Lew Bryson,Fall 2011
74,Hudson New York Corn Whiskey,46.0,White Whiskey,,"Nose is sweet corn, with some mintiness to it, and some herbal notes; hot, but not off-putting. Tastes are not as sweet as expected. A bit flat, though the sweet corn does come through toward the end. Again, though, this one is quite hot, which is not surprising; the Hudson Baby Bourbons — which this is the foundation for — have struck me as hot also. Price is per 375 ml.",Lew Bryson,Fall 2011
75,McAfee’s Benchmark Old No. 8,40.0,Bourbon/Tennessee,12,"Freshly cut oak and chewing tobacco to start, followed by hints of green apple, wood chips, and a warm, wet sharpening stone. On the palate, the wood heightens and becomes extremely bitter. This whiskey’s saving grace is that it’s extremely palatable in cocktails.",Fred Minnick,Summer 2018
75,Lambertus 10 year old,40.0,Single Grain Belgian Whisky,57,"This may be the best-known Belgian single grain whisky and it vies for attention with its perfumed nose of violet creams, acetone, and peach juice with ripe mango and papaya. Unfortunately, the body is lacking, yielding up a juicy collision of tropical fruits and icing sugar sweetness, but after that initial arrival, the torpid profile is rather unremarkable. The flavors die quickly, with some residual flavor trails persisting. All in all, a bit drab. €53",Jonny McCormick,Winter 2015
75,Rebel Yell American Whiskey,45.0,Miscellaneous,30,"A blend of bourbon and rye whiskeys, 2 years old, no information on the proportions. Very hot, piercing nose: wet corn, tobacco juice, peppermint oil, and pain. Man, that’s hot. Bitter and hot on the tongue, with an inappropriate sweetness. Finish backs off on the heat, but is full of wet oak. Can’t help thinking this was simply a bad idea.",Lew Bryson,Fall 2015
75,Highspire Pure Rye,40.0,Craft Whiskey,50,"Made from 100% rye, but aged in wine casks. Distinctly pink tinge: rosé whiskey. Very young nose: rye grain, Starburst candies, and feinty vegetable notes along with the wine-oak. Thin, dry, reminiscent of a dry hay barn: dusty grain, warm wood planks, a bit medicinal. Aged 130 days, and tastes like it. Growing up in Pennsylvania, Highspire was a town we stayed out of. Good advice.",Lew Bryson,Fall 2015
75,McMenamins Billy Whiskey,,Craft Whiskey,35,"An oddball whiskey by all accounts, with a very high 72.2% of wheat in the mashbill, distillation on an old farmhouse cognac still, and aging in a little Oregon barn in 63-gallon new oak barrels. The result is a strange, disjointed whiskey that starts out pillow-soft with wheat and caramel, and then dramatically shifts to raw oak, nougat, and cinnamon stick. The flavors in Billy don’t integrate well: they&#039;re like a jazz band severely out of step.",Geoffrey Kleinman,Summer 2015
75,Hayes Parker Reserve Spice,45.0,Flavored Whisky & Liqueurs,13,"Faint spice aroma becomes more apparent after sitting for 20 minutes; initial pour smelled much like the Reserve Cherry (see below). Christmas cookie spices. Thick and sweet, spice is more evident. Not bad, but pretty thick and not much bourbon flavor for 45%.",Lew Bryson,Fall 2014
75,Ellington,40.0,Canadian,,"Minnesota is a favored destination for Canadian vacationers from the prairies, and a hotbed for Canadian whisky. The Ellington Whisky Company calls Princeton (Minneapolis) home. Here, it bottles whiskies imported from Canada. Where from, exactly? A trade secret. Caramel, prune juice, ripe yellow fruits, and hints of cooked, buttery corn mute a dry, spirity nose. Peppery and spicy, it blends caramel, bitter lemon soda, sweet ginger, and orange Fanta. Canadian whisky unlike any found in Canada. But do add cola. C$11",Davin de Kergommeaux,Fall 2013
75,Tullamore Dew Single Malt Sherry Cask Finish,46.0,Irish,,"It's great that Irish whiskey is thriving and William Grant has bought Tullamore Dew. But they need help. To paraphrase English football fans, someone doesn't know what he's doing. The label says this is 12 years old, small batch, and limited edition. What? The normal whiskey is a blend and there's no distillery. So what is this, and why small batch? The whiskey's a mess, too — flabby, characterless, and confused — the whiskey equivalent of a karaoke singer doing Led Zeppelin.  ",Dominic Roskrow,Spring 2013
75,Mackmyra Vit Hund,,Single Malt Swedish Whisky,,"Mackmyra makes no secret of the fact that it borrowed the idea for this release from its American friends. The name means 'white dog,' but the taste is all Scotland. It's sappy, fresh, raw, and vegetal, with some pleasing menthol notes. Perhaps the most interesting aspect of it is how much like scotch new make it tastes, suggesting that Swedish barrels have a very big say in the final product. SEK 319",Dominic Roskrow,Spring 2012
75,Knockando 25 year old Special Release 2011,43.0,Single Malt Scotch,,"What a contrast with the standard bottling. Here we have Knockando in a hugely active cask and, sadly, its fragile character collapses under the assault. The nose is oily and sulphury with notes of sealing wax, Turkish tobacco, and maraschino. The palate is dry and tannic, the opposite of what is needed for a whisky that is nutty and dusty in the first place.",Dave Broom,Spring 2012
75,Heaven Hill Trybox Series Rye,,White Whiskey,25,"This is new make from the Rittenhouse Rye mashbill, unaged, right off the still. Yeasty mash notes come through strongly, with a big nose of rye and corn underneath. It smells fresh, and alive. Wow, that’s powerful stuff. Much hotter than the Trybox Corn, this one is on fire with rye spice; it’s got me breaking a sweat! A bit of water brings out more grain notes, and some tempering sweetness, but it’s still no pussycat. Cleanly powerful.",Lew Bryson,Fall 2011
75,Koval Levant Spelt,40.0,White Whiskey,,"Provocative: spelt’s an interesting aroma. Grainy and a bit earthy, with hints of golden delicious apple all combining in the nose. There’s a fast, high flow of creaminess that spreads quickly and disappears, leaving a slightly fruity, grainy aftertaste. Interesting sensations, and again, quite clean. ",Lew Bryson,Fall 2011
75,Stillhouse The Original Moonshine,40.0,White Whiskey,,"Aromas are soft and creamy, with a waft of sweet corn — underlain with a fairly blunt alcohol burn that comes through more as you smell it. Quite sweet on the palate, a wash of green corn, but the flavor isn’t enough to tangle successfully with the fuel, which leads to a tongue-curlingly hot finish. Some definite potential, but it really needs time in a big oak barrel (or some ice and a bottle of Dr. Pepper). ",Lew Bryson,Fall 2011
76,Sunshine Reserve American whiskey,,American Blended Whiskey,50,"Raw oak, drywall, campfire, and glue open the sinuses. Then, an antiseptic/medicinal property sets in with tobacco, burnt wood, and smoked paprika. Toward the end, a generous helping of vanilla kicks in over a decent finish to save it.",Fred Minnick,Spring 2018
76,Buffalo Trace Experimental Collection Organic 6 Grain Whiskey,45.0,Miscellaneous,46,"Youth and rawness offer the first impression, with fresh-cut oak and grains leading the way. The raw grains develop into cooked-oat notes followed by rye toast, tobacco, oak, smoke, and an unwanted bitterness that lingers. The short finish offers a hint of caramel and citrus. Price is per 375 ml.",Fred Minnick,Fall 2017
76,Rabbit Hole,,Bourbon/Tennessee,50,"With a mashbill of 70% corn, 10% malted wheat, 10% malted barley, and 10% honey malted barley, youth is evident, as ripe grains and wood initially dominate. Pepper, cherry, and raw clover honey appear mid-palate over wheat bread and creamed corn. A surprisingly medium-to-long finish gives a hint of caramel, suggesting more time in the barrel would create a better pour.",Fred Minnick,Summer 2017
76,MacNaMara Blended,40.0,Blended Scotch Whisky,35,"This amber-colored blend from the Gaelic Whisky Company has sweet barley notes and gentle spice aromas. The caramels prop up the dominant flavor of cold-pressed orange oil squeezed from the peel. A crescendo of peppery spice marks the late phase and distinguishes the swallow, before a finish of tangy citrus peel with a touch of clove. Perfectly straightforward blend but limited in scope, like a linear dot-to-dot connecting barley, orange peel, and spice.",Jonny McCormick,Winter 2016
76,St. Augustine Florida Double Cask Bourbon,,Craft Whiskey,50,"Aged in a combination of 25-gallon and 53-gallon barrels, Florida’s first bourbon since Prohibition is 16 to 28 months of age. The honor of being first comes with compromises—a youthful, spirited profile, with clear distillate lurking just beneath the heavy surface oak, dried fruit, and cocoa notes. Slightly hot, earthy, and leathery, with Robusta coffee and oak astringency on the finish.",Jeffery Lindenmuth,Winter 2016
76,Old Charter,40.0,Bourbon/Tennessee,17,"Named after the Charter Oak tree from the 1800s, this brand offers decent value. Sweetness and grain come and go, with hints of baking soda and dandelions. Think cooked grains, in presentations like cornbread and fresh-baked rye bread. Unfortunately, this is too much of a one-trick pony, falling into those pronounced grains that don’t offer much more. But there’s no doubt about it: it’s worth the money. Remember, value.",Fred Minnick,Spring 2016
76,Loch Lomond Original,40.0,Single Malt Scotch,40,"Since a change of ownership in 2014, the Loch Lomond range has been revamped, with the previous blue and black label single malt variants being dropped in favor of this repackaged NAS expression. Farmyard aromas on the early nose, then emerging malt and caramel. Discreet oak. Rounded on the palate, with immediate citrus fruits, toffee, allspice, and a suggestion of smoke. Spices persist through a slightly citric, cerealy, medium-length finish.",Gavin Smith,Fall 2015
76,Virgil Kaine High Rye Bourbon,45.0,Craft Whiskey,35,"Wood tannins are an interesting thing; used correctly, they can help create spice, depth, and complexity, as well as define a spirit&#039;s character. Unrestrained, tannins can wreak havoc. That’s what’s happened with this whiskey. Sharp, unfinished wood defines a nose that is raw in every sense. A thin entry struggles to present maple and caramel before a heavy blast of oak tannins decimates them. Those tannins define the rest of the taste experience, including a sour and bitter finish.",Geoffrey Kleinman,Fall 2015
76,Westland Sherry Wood American Single Malt,46.0,Craft Whiskey,70,"With a mash featuring no less than six different kinds of malt and aged in four different barrels (two sherry, a bourbon, and heavy-char new American oak), there are lot of moving parts with this whiskey. A jammy, inviting nose features blackberry jam, raisin, apricot, and ginger. On the palate it’s a cacophonic mess: chocolate and peated malt clash and do battle to grab focus. Add some heavy char and sherry to the mix and it&#039;s a bloodbath.",Geoffrey Kleinman,Fall 2015
76,Navazos-Palazzi Single Palo Cortado Cask,,Spanish Whisky,100,"A non-age statement Spanish malt whisky. Whereas Scotch whisky is often a showcase of the grain, this Spanish malt is all about spotlighting the unique Palo Cortado sherry cask. Monster raisin leads things off and is followed by apricot jam, honey, ginger, and grape blossom. The impact of sherry is so great, it borders on tasting like an interesting young Spanish brandy. A very spicy mid-palate, which is a little hot, drives a very dry finish. (<em>U.S. only</em>)",Geoffrey Kleinman,Spring 2015
